#,C(Au),C(Ag),C(CTAB),C(I2959),UV Intensity,time,V(os),Note
1,0.144564965,0.014255689,5.663836583,1.258412136,15.24341446,6.653307721,5.679237073,R
3,0.120650423,0.015217587,7.193269209,1.093696365,16.15977427,10.6931136,5.324054492,R
5,0.137707736,0.012946842,6.648182413,1.184930483,16.72893596,7.735168983,4.902574784,R
6,0.079916427,0.01157777,2.798203056,0.726596669,22.44249109,17.04046222,6.359856254,R
7,0.158129154,0.014743859,5.144577805,1.233697293,16.83479205,6.658015162,5.43626839,R
8,0.069725847,0.006525622,3.895645639,0.925839643,15.1058372,20.43957717,4.689877559,R
9,0.148918025,0.013607905,4.387972002,1.322968847,17.54467149,7.277286715,5.816375372,R
11,0.155826072,0.01422881,5.630320344,1.297451564,18.19863923,8.235751293,5.865009788,R
13,0.165040888,0.016010853,4.661074551,1.190453699,19.79627979,8.688525213,5.690624332,R
15,0.151167909,0.01505453,5.001307829,1.337190591,19.0295005,9.930839292,6.230180816,R
17,0.14975122,0.016620733,4.832469518,1.145870491,17.35572614,8.980741991,5.524710213,R
19,0.133166942,0.01509084,5.241650544,1.188939869,18.67819047,8.521472792,5.106728067,R
20,0.104651695,0.017055737,6.354453883,1.151660072,14.2275422,6.912580082,5.163298833,R
21,0.146372552,0.015804788,5.16664801,1.319312293,17.40133763,8.076376652,5.101032055,R
23,0.142314835,0.01577639,4.980558774,1.206200429,17.06175587,7.663475899,5.3835635,R
25,0.143306233,0.015006423,4.36489664,1.250911196,17.92000933,7.50935646,5.263599712,R
26,0.064278858,0.01069064,6.635940847,0.784083824,15.18875499,18.39686653,5.245695311,R
27,0.150083453,0.015640745,4.765145622,1.166659793,17.45485848,8.898491995,5.584003285,R
29,0.140304133,0.01503202,4.492149988,1.192277467,18.90766137,8.368641591,5.422626621,R
31,0.133161532,0.016668258,4.734973365,1.259412842,18.23070513,7.143192993,5.284188086,R
32,0.109897576,0.013993922,9.46659838,1.100962664,16.57964599,14.65546154,6.305689587,R
33,0.142139806,0.016324548,4.664946916,1.222564568,18.13669798,6.514710105,5.527910838,R
34,0.064272636,0.011383263,4.922499099,0.682626743,18.80798381,9.934237703,5.083212558,R
35,0.144310971,0.014984747,4.64276442,1.259506576,19.26234486,8.263233417,5.526531602,R
37,0.151910445,0.016670444,4.045567694,1.165385558,16.48237715,7.407439619,5.920137093,R
38,0.121615005,0.015459036,5.781835957,0.866854592,22.6817274,12.27389264,5.366738041,R
39,0.15079705,0.016925004,4.489302319,1.192455397,16.58746652,7.900009537,5.010174322,R
41,0.133482069,0.0160856,5.059444579,1.245231278,18.36536566,7.937062217,5.37991934,R
42,0.095232376,0.018046069,5.129132291,1.142791546,10.58867864,15.88397946,5.66798246,R
43,0.146489888,0.01593216,5.050857674,1.202957629,19.53483412,7.783666991,5.692174729,R
45,0.143848876,0.016281247,5.015752099,1.206626864,18.50530498,8.077700737,5.613826753,R
47,0.141173606,0.014598367,5.346666398,1.143383715,19.26389004,8.361099791,5.434702958,R
48,0.08897191,0.014799276,3.497766883,1.030354529,15.64253829,14.95456107,5.779801077,R
49,0.150343479,0.015235934,4.756322972,1.221781823,17.98228624,7.120300747,5.227403426,R
50,0.10386096,0.014230832,3.892974197,0.906740127,22.90563742,18.15450657,5.304179567,R
1,0.068391756,0.009508238,7.019641875,0.737899211,14.47542353,20.13960132,6.023713624,R
2,0.119034593,0.009854016,3.58185381,0.922301816,20.0322074,11.2769086,6.073234991,R
6,0.081579034,0.00581818,8.613742989,1.081548047,15.5790872,13.54329145,5.87717625,R
7,0.097264372,0.018691399,8.232184626,1.125704253,10.83571548,14.95294024,6.162365875,R
8,0.060610921,0.00928558,5.84597956,0.708046785,14.18874503,19.18605956,5.05572273,R
9,0.09265577,0.016090687,9.415250759,0.587546362,15.02846018,12.22733004,6.017597984,R
10,0.056253768,0.012023437,3.065551773,1.031897835,11.04640144,18.6876748,6.426661001,R
11,0.137496091,0.009086119,4.230940588,1.131853332,16.06998678,14.24052752,6.400522681,R
13,0.143793071,0.018599541,10.30290826,0.967865517,14.31702896,9.717963327,5.904826921,R
15,0.117551593,0.016107464,8.36384084,0.819417958,12.14262838,9.389039313,6.780740551,R
16,0.112157936,0.016959228,9.612163127,1.019059298,20.55129153,18.83804644,6.640725816,R
17,0.105789681,0.008298378,5.360014394,0.669529709,22.4733639,10.15272254,5.161366229,R
21,0.077084761,0.012850061,3.564860149,1.215302073,16.58549876,18.59542705,5.82038128,R
22,0.117750108,0.01839801,3.602265591,1.156780411,14.0666693,18.60566234,5.14693335,R
23,0.080651521,0.006645914,3.095890226,0.903904935,20.28720089,15.53513295,6.386223853,R
24,0.138382678,0.020068797,7.017737989,0.925316169,12.65091628,10.2842711,6.063330803,R
25,0.088593225,0.018381436,9.153431733,0.800240115,17.81766797,13.2474807,5.652938895,R
27,0.145577511,0.018822008,3.00217417,0.813947193,12.2094716,11.55442401,5.847869101,R
29,0.109451656,0.007326549,6.643721709,1.097599264,20.31692443,5.100998955,5.616643936,R
30,0.086701546,0.005582042,3.131725608,0.919732556,20.28586689,17.34277621,6.025136477,R
33,0.047161473,0.010484082,6.76117965,0.837555514,12.42197347,10.88637278,5.71582005,R
35,0.078252127,0.007029238,3.290040628,0.870090136,19.48233524,17.77385506,6.166751206,R
36,0.131332424,0.009762956,7.457312234,0.753666215,24.38709161,11.84966959,5.980748277,R
39,0.122379789,0.017325204,9.562481902,1.021937034,11.31478832,16.31330792,5.965639055,R
40,0.096177597,0.009123176,6.229499126,1.013455054,12.08805962,6.196141172,5.643558652,R
41,0.076469085,0.015053209,7.561697084,0.609953282,23.11988448,13.73166233,5.113375327,R
42,0.064465346,0.005059366,2.855848921,0.652086234,14.70173959,15.41462448,5.790213247,R
43,0.104572546,0.012531205,9.081883483,1.167391933,12.73113309,5.430905024,5.872975876,R
44,0.061183379,0.011188666,3.725627112,1.095612487,10.4578072,5.565613719,6.536667779,R
45,0.13365179,0.008934936,4.175092755,1.051751434,19.0031357,11.41519882,6.464975644,R
46,0.09593908,0.013703006,4.015433149,1.131748663,17.56172442,9.181533985,5.694561023,R
47,0.095685862,0.006774823,5.818975397,0.975747564,18.10101565,14.87301911,6.110113452,R
48,0.13783553,0.012698079,8.205740643,0.978310931,12.01162302,14.80603122,5.305504942,R
49,0.08209105,0.005433255,10.02959353,0.747590348,15.14918842,11.53532587,6.115584199,R
1,0.152678569,0.147890513,3.487313624,4.107636892,30.89671495,5.8078481,5.246198327,S
2,0.071397588,0.111953746,1.354411705,1.11333034,24.53785672,7.911114509,5.18223602,S
3,0.139358499,0.157586041,3.992925041,3.48526235,28.17158497,5.638079952,5.395332666,S
4,0.108917024,0.112500047,2.970058877,2.535506748,19.86752781,12.13124659,5.582457386,S
5,0.139127085,0.143308044,4.322147115,3.715695649,31.07547712,5.290573317,5.300874387,S
6,0.065027299,0.053879093,5.807311315,3.559612699,25.01289336,7.449243252,6.263562703,S
7,0.151609678,0.15078219,3.257551173,3.500406309,29.77929717,7.290346732,5.436816728,S
8,0.078279228,0.089654147,2.253219808,3.144693,39.60799418,9.00333958,6.312510342,S
9,0.144433423,0.163023568,3.458268739,3.34738438,29.76477336,6.186734726,5.267318681,S
10,0.112106411,0.077505207,7.451640639,2.129266481,15.81070395,10.07922623,5.447790219,S
11,0.149443472,0.137889081,4.002205507,3.440417996,25.83571049,6.42198941,5.291837685,S
12,0.088640656,0.121333114,6.698942912,1.457494368,15.99721689,11.46217098,6.142838844,S
13,0.142628358,0.139508308,3.79644113,3.239873065,27.56954254,6.452397984,5.387915474,S
14,0.055528889,0.105133046,1.737679835,2.077007507,38.10068653,11.39615,6.082883597,S
15,0.106625077,0.107014939,5.502164695,2.237338581,18.61291431,11.35317101,5.138163195,S
16,0.083080103,0.067031105,1.386537755,1.690675295,40.77982188,8.643459599,6.567275569,S
17,0.153690168,0.143941481,3.482485698,3.45221576,28.97433533,6.801984859,5.336474541,S
18,0.128297098,0.135828069,6.116511318,3.760489085,44.75718415,5.290562853,5.292362479,S
19,0.138030991,0.156853931,3.62894377,3.598367569,38.36451691,5.383454746,5.274297397,S
20,0.121404157,0.128120701,1.444133142,2.951691609,26.70861753,11.85146217,6.636689527,S
21,0.145291295,0.139309905,4.237898023,3.295941169,42.10389057,5.533074093,5.301243464,S
22,0.06944682,0.126235311,2.861163051,1.799579052,49.4811909,10.25764045,4.931862674,S
23,0.14513078,0.151429341,4.055054747,3.522864803,43.51054108,5.176751258,5.113598588,S
24,0.144108751,0.062066778,4.9056849,2.217678663,25.51490534,6.238055637,6.363513394,S
25,0.14999697,0.14756512,4.157426367,3.4481354,41.05446407,5.501759607,5.342153351,S
26,0.096508027,0.125385281,3.46059044,1.227579286,22.37606492,8.055388585,5.930774602,S
27,0.157717971,0.148733715,3.886355918,2.954190478,36.66060745,5.661731531,5.481685389,S
28,0.108278719,0.075293504,6.467654759,2.65209464,48.58273364,8.743574008,5.639288275,S
29,0.155623342,0.143751684,3.858227972,3.652019018,43.00524666,5.407857549,5.220871191,S
30,0.098438227,0.098301929,2.672190684,2.821429158,30.56938998,11.93489988,5.545081,S
31,0.155015068,0.144743451,4.001437941,3.367055013,43.47700652,5.996707883,5.576938829,S
32,0.100515865,0.093668124,7.322659897,1.230520932,32.99343322,6.479376181,6.032509279,S
33,0.141085487,0.139671971,3.301081674,3.747324031,43.82592967,6.516630847,5.549044372,S
34,0.08519945,0.096499547,5.559070108,2.407601843,47.27455234,7.821165597,5.593062991,S
35,0.159039391,0.146310928,4.241868752,3.6948755,43.43969499,5.656043202,4.968513145,S
36,0.065604592,0.053497079,7.513244287,3.615361386,36.74462832,11.41651475,6.393431733,S
37,0.14898799,0.156869611,4.025521655,3.362898927,37.56173901,5.550930701,5.371374606,S
38,0.121804715,0.127121072,3.396825811,1.19595592,21.83055351,8.561935529,5.826420469,S
39,0.159037299,0.157942926,4.242782955,3.408769223,43.56398813,5.070022445,5.001381265,S
40,0.100935366,0.076482396,6.26454386,2.228341051,18.34812368,8.028723692,5.202421223,S
1,0.106970592,0.068123707,7.716398546,1.906017765,17.07763431,9.806395304,5.721162292,S
2,0.073756026,0.101885524,1.919575624,1.641515721,21.59345089,10.03566638,6.100821646,S
3,0.124032782,0.081840287,7.092510709,1.964096703,17.04879317,9.638627966,5.140832701,S
4,0.136841055,0.076835056,5.275416772,4.20531954,23.72057196,9.514432058,6.400676323,S
5,0.079631275,0.115553451,1.705964301,1.469631208,46.37424772,7.496784097,5.069501774,S
6,0.138138888,0.050250779,6.604509702,2.394360792,39.3184544,6.881824118,5.190405214,S
7,0.117805539,0.084916091,5.752320774,1.871500376,16.24850269,9.70682689,5.604202832,S
8,0.050379443,0.091196884,3.576300212,3.423525245,37.90511893,10.68993145,5.903427299,S
9,0.145708264,0.123548646,2.614943831,2.589435359,24.46930671,6.533470092,5.062311081,S
10,0.136292513,0.056455669,7.307254185,2.442302838,38.38395129,7.40620063,5.265658817,S
11,0.078791683,0.094339165,5.494601289,3.258756998,28.93076233,5.983284349,6.126938658,S
12,0.060162742,0.097608237,7.121442577,1.276905024,41.51842537,8.429730711,5.845305499,S
13,0.116206668,0.078031843,7.251102753,2.059654571,17.54332356,10.28249402,5.739845725,S
14,0.077822751,0.119421875,6.270537321,2.124802004,17.43655279,5.264969408,4.858297753,S
15,0.097195433,0.121292243,5.09317538,2.652145051,20.52849973,7.343300197,6.590774054,S
16,0.09070355,0.05693589,3.702414369,3.520731715,34.96633132,5.16279495,6.043041059,S
17,0.076993175,0.144479257,3.116399679,2.634788924,20.48874341,11.45214844,5.778597015,S
18,0.09800991,0.091103879,1.864285362,1.434292224,19.99651038,6.382198748,5.528441903,S
19,0.104700145,0.08188494,7.560221191,1.820119918,17.51202338,10.03053771,5.711641282,S
20,0.086471547,0.102890439,5.45714301,3.127945807,22.26002848,11.3038346,6.223099027,S
21,0.110625866,0.093150568,7.61369448,1.941984478,18.06541918,10.83844163,5.16967438,S
22,0.084850344,0.148954031,4.23554962,1.305821774,28.48334467,6.721321741,5.478899062,S
23,0.115878105,0.085678152,8.034497115,2.133327976,15.48593658,10.24648236,5.860102647,S
24,0.096244222,0.085213599,2.94867524,1.610493022,23.45682113,9.709624048,5.484237983,S
25,0.122227802,0.07632107,7.166199414,1.953852653,15.12873293,9.610278603,6.091127003,S
26,0.066319304,0.093930939,4.568649993,1.689632194,24.38349733,11.7537702,4.888591518,S
27,0.118589263,0.077404125,7.028355997,2.160028677,16.30611971,10.24884769,5.614815173,S
28,0.106236424,0.071709222,1.816476473,1.085352328,19.33401435,7.957105408,5.133984021,S
29,0.111943829,0.072839585,7.39961979,2.042520287,15.67396802,10.60843951,5.802155875,S
30,0.125743189,0.066725735,5.926383471,1.667868912,35.77702151,9.035399563,6.74782464,S
