#,C(Au),C(Ag),C(CTAB),C(I2959),UV Intensity,time,V(os),Note
1,0.146,0.015,5.65,1.245,16.98123651,7,5.405405405,R
2,0.117,0.0052,10.075,0.505,11.059739,12.3,5.714285714,0
3,0.127,0.015,7.225,1.065,16.6438662,10,5.263157895,R
4,0.051,0.0094,8.925,0.985,15.99966262,18,6.25,XR
5,0.137,0.0135,7.1,1.19,16.31681622,7.9,5.263157895,R
6,0.078,0.0113,2.7,0.715,21.52146625,17.7,6.451612903,R
7,0.15,0.0148,5.25,1.22,17.68875167,7.4,5.405405405,R
8,0.068,0.0068,4,0.92,14.28340435,19.8,5,R
9,0.148,0.0143,4.85,1.24,18.05986686,6.7,5.555555556,R
10,0.097,0.0085,2.8,0.635,12.19833337,14.3,5.128205128,0
11,0.147,0.0148,5.4,1.21,18.83944762,8.2,5.555555556,R
12,0.123,0.0066,3.1,0.535,9.928056609,5.3,5.882352941,0
13,0.149,0.0149,5.05,1.22,19.24905923,8.7,5.555555556,R
14,0.088,0.0126,9.15,0.845,10.55133019,12.6,6.666666667,0
15,0.144,0.0148,5.025,1.24,18.05986686,8.9,5.555555556,R
16,0.075,0.0106,11.125,0.59,18.44324656,15.6,6.060606061,0
17,0.147,0.0155,4.75,1.225,17.32937435,8.6,5.555555556,R
18,0.059,0.02,8.05,0.655,20.11104644,19.4,6.25,XR
19,0.143,0.015,5.1,1.23,18.44324656,8.1,5.405405405,R
20,0.108,0.0174,6.175,1.205,15.39345611,6.3,5.128205128,R
21,0.14,0.0149,5.45,1.24,17.68875167,7.6,5.405405405,R
22,0.082,0.0163,3.525,1.115,22.54927333,19.7,5.882352941,XR
23,0.144,0.0152,4.85,1.2,18.44324656,8.1,5.555555556,R
24,0.07,0.0189,7.55,1.03,13.29314843,12.4,6.25,XR
25,0.148,0.0147,4.575,1.215,17.32937435,7.6,5.405405405,R
26,0.065,0.0101,6.575,0.765,14.54895257,19.1,5.714285714,R
27,0.147,0.015,5.05,1.235,18.05986686,8.4,5.555555556,R
28,0.112,0.0075,8.425,1.235,10.88610828,11.4,6.25,XR
29,0.148,0.0149,4.55,1.24,18.83944762,8.2,5.555555556,R
30,0.071,0.0066,8.625,0.795,11.79928721,16.6,6.060606061,0
31,0.141,0.0152,4.875,1.23,18.44324656,7.6,5.555555556,R
32,0.103,0.0133,9.55,1.15,15.69200317,14.9,6.060606061,R
33,0.14,0.0154,4.925,1.22,17.68875167,7.8,5.555555556,R
34,0.062,0.0119,5.125,0.685,19.24905923,10.7,5.263157895,R
35,0.145,0.0154,4.625,1.22,18.83944762,8,5.555555556,R
36,0.131,0.0185,4.175,0.56,13.53046043,14.2,5.128205128,0
37,0.147,0.0158,4.65,1.235,18.44324656,7.6,5.555555556,R
38,0.125,0.0168,6.35,0.95,22.02603983,13.3,5.128205128,R
39,0.145,0.0158,4.55,1.215,18.05986686,8.4,5.405405405,R
40,0.055,0.0079,4.325,1.175,12.61879199,5.9,5.882352941,XR
41,0.146,0.0151,5,1.195,18.05986686,7.8,5.405405405,R
42,0.091,0.0196,5.075,1.09,11.42019956,16.1,6.451612903,R
43,0.148,0.016,5.075,1.235,17.68875167,8,5.405405405,R
44,0.053,0.0161,6.025,0.855,10.23230973,17.4,6.451612903,XR
45,0.147,0.0156,4.925,1.23,18.44324656,8.1,5.555555556,R
46,0.08,0.0062,4.15,0.7,11.99622763,9.4,5.128205128,0
47,0.147,0.0155,5.125,1.205,17.68875167,8.5,5.405405405,R
48,0.084,0.0138,3.35,1,14.82226686,16.3,5.405405405,R
49,0.143,0.0156,4.85,1.24,18.83944762,7.9,5.555555556,R
50,0.099,0.0128,4,0.88,21.52146625,18.5,5,R
1,0.066,0.0099,6.875,0.735,15.10365885,19.5,5.714285714,R
2,0.115,0.0097,3.65,0.91,20.5647837,11.8,5.882352941,R
3,0.093,0.014,2.575,0.755,10.07839603,9.7,5.714285714,0
4,0.12,0.0123,6.975,0.82,10.38991405,16.5,5.882352941,0
5,0.092,0.018,9.425,0.97,11.23771966,6.6,6.25,0
6,0.078,0.0057,8.25,1.06,15.10365885,13.8,5.882352941,R
7,0.089,0.0182,8.35,1.13,10.55133019,15.2,6.25,R
8,0.064,0.0091,5.6,0.625,14.02532563,19.9,5.263157895,R
9,0.086,0.0171,9.375,0.57,15.39345611,12.9,5.555555556,R
10,0.06,0.0115,3.1,1.02,11.79928721,17,6.451612903,R
11,0.134,0.0087,4.475,1.19,16.98123651,14.6,6.666666667,R
12,0.103,0.0059,6.075,0.52,10.88610828,14.4,5.405405405,XR
13,0.133,0.0176,9.5,0.995,14.28340435,10.4,5.714285714,R
14,0.055,0.0117,9.275,0.675,20.5647837,19.2,5.714285714,XR
15,0.11,0.0166,8.1,0.785,12.83754223,9.2,6.451612903,R
16,0.118,0.0166,9.75,0.965,21.03466049,18.8,6.666666667,R
17,0.113,0.0081,5.875,0.68,23.09211617,10.1,5,R
18,0.127,0.0119,7.725,0.54,11.6073345,7.2,5.128205128,0
19,0.073,0.005,8.525,1.025,15.39345611,13.6,6.060606061,XR
20,0.135,0.0071,6.75,0.645,22.54927333,8.6,5.405405405,XR
21,0.076,0.0114,3.825,1.145,16.6438662,18.6,6.060606061,R
22,0.111,0.0187,3.45,1.16,13.53046043,18.3,5.128205128,R
23,0.084,0.0067,2.975,0.935,20.11104644,16.8,6.451612903,R
24,0.127,0.0193,7.475,0.98,12.4057901,10.9,6.25,R
25,0.085,0.0184,8.725,0.745,16.6438662,13.6,5.263157895,R
26,0.095,0.0081,4.225,0.85,11.059739,5.6,6.451612903,0
27,0.142,0.0186,2.875,0.865,13.29314843,11.6,5.714285714,R
28,0.106,0.0111,6.65,0.725,10.88610828,6,5.714285714,0
29,0.111,0.007,7.15,1.1,19.67270519,5.1,5.555555556,R
30,0.083,0.006,3.225,0.96,20.11104644,17.1,6.25,R
31,0.057,0.0078,9.85,0.545,14.02532563,16.2,5.555555556,0
32,0.139,0.01,9.325,0.805,11.99622763,9.1,6.451612903,0
33,0.05,0.0104,7.35,0.855,12.19833337,10.5,5.555555556,R
34,0.112,0.0191,3.5,0.83,15.99966262,12,6.060606061,XR
35,0.087,0.0071,3.15,0.9,19.67270519,17.2,6.451612903,R
36,0.128,0.0095,7.8,0.835,22.02603983,13.2,6.25,R
37,0.098,0.0131,6.425,0.715,13.77443401,9.2,5.882352941,0
38,0.063,0.0184,6.15,1.125,16.6438662,11.2,6.060606061,XR
39,0.129,0.0165,9.2,1.08,11.99622763,15.9,6.060606061,R
40,0.101,0.0088,6.275,1.075,11.99622763,6.5,6.060606061,R
41,0.076,0.0145,7.95,0.58,22.54927333,14,5.555555556,R
42,0.061,0.0054,2.925,0.705,14.54895257,15.7,5.714285714,R
43,0.109,0.0125,8.9,1.155,13.29314843,5.4,6.25,R
44,0.061,0.0111,3.75,1.05,10.71668441,5.2,6.666666667,R
45,0.121,0.0084,4.075,1.01,18.05986686,11.6,6.060606061,R
46,0.096,0.0137,3.925,1.085,15.99966262,9,5.405405405,R
47,0.102,0.0063,6.025,1.015,16.6438662,15.4,5.882352941,R
48,0.141,0.0132,9.075,0.925,11.6073345,15.5,5.263157895,R
49,0.081,0.0055,9.95,0.775,16.31681622,11.4,6.25,R
50,0.053,0.0126,9.65,0.67,19.24905923,18.2,5.714285714,XR
1,0.146,0.15,3.5,3.99,31.58334584,6,5.405405405,S
2,0.072,0.107,1.35,1.06,24.848753,8.3,5,S
3,0.15,0.15,3.7,3.55,28.27765666,6.2,5.263157895,S
4,0.107,0.111,3.075,2.56,21.03466049,11.3,5.882352941,S
5,0.138,0.135,4.525,3.77,31.58334584,6.3,5.263157895,S
6,0.068,0.054,6.075,3.33,23.65557963,7.6,6.451612903,S
7,0.144,0.144,3.45,3.61,26.82259522,6.6,5.263157895,S
8,0.082,0.087,2.3,3.14,44.57914734,9.6,6.25,S
9,0.145,0.146,3.525,3.42,27.53516958,5.9,5.128205128,S
10,0.115,0.079,7.4,2.04,16.98123651,10.3,5.555555556,S
11,0.149,0.148,4.025,3.63,26.13832074,5.9,5.128205128,S
12,0.094,0.124,6.825,1.48,17.68875167,10.7,5.714285714,S
13,0.148,0.148,3.975,3.5,26.82259522,6.6,5.128205128,S
14,0.055,0.093,1.8,2.18,36.64013678,11.2,6.060606061,S
15,0.114,0.106,5.175,2.28,19.24905923,11,5.555555556,S
16,0.086,0.066,1.375,1.71,40.30717606,9.3,6.25,S
17,0.15,0.147,3.5,3.43,26.82259522,6.4,5.128205128,S
18,0.127,0.133,5.7,3.84,43.07986175,5.1,5.555555556,S
