#,C(Au),C(Ag),C(CTAB),C(I2959),UV Intensity,time,V(os),num_peak,wl1,FWHM1,ISPR1,wl2,FWHM2,ISPR2,I400,Note
1,0.146,0.015,5.65,1.245,16.98123651,7,5.405405405,2,866.5,187.18,0.172,532,93.448,0.072,0.06,R
3,0.127,0.015,7.225,1.065,16.6438662,10,5.263157895,2,920.5,191.49,0.243,530,98.818,0.056,0.06,R
5,0.137,0.0135,7.1,1.19,16.31681622,7.9,5.263157895,2,911,204.03,0.157,517,103.623,0.041,0.04,R
6,0.078,0.0113,2.7,0.715,21.52146625,17.7,6.451612903,2,812.5,153.38,0.034,522,80.311,0.02,0.02,R
7,0.15,0.0148,5.25,1.22,17.68875167,7.4,5.405405405,2,875,189.43,0.128,518,98.77,0.038,0.04,R
8,0.068,0.0068,4,0.92,14.28340435,19.8,5,2,807,164.64,0.056,515.5,83.449,0.018,0.02,R
9,0.148,0.0143,4.85,1.24,18.05986686,6.7,5.555555556,2,853.5,174.56,0.111,514,103.847,0.034,0.04,R
11,0.147,0.0148,5.4,1.21,18.83944762,8.2,5.555555556,2,884,196.78,0.157,509,109.733,0.049,0.06,R
13,0.149,0.0149,5.05,1.22,19.24905923,8.7,5.555555556,2,873,180.3,0.231,525.5,93.659,0.067,0.06,R
15,0.144,0.0148,5.025,1.24,18.05986686,8.9,5.555555556,2,882.5,195.85,0.172,522,94.388,0.057,0.05,R
17,0.147,0.0155,4.75,1.225,17.32937435,8.6,5.555555556,2,868.5,187.92,0.155,525.5,92.285,0.067,0.052,R
19,0.143,0.015,5.1,1.23,18.44324656,8.1,5.405405405,2,874.5,182.2,0.183,518.5,106.126,0.052,0.051,R
20,0.108,0.0174,6.175,1.205,15.39345611,6.3,5.128205128,2,842.5,160.43,0.05,527.5,99.346,0.024,0.021,R
21,0.14,0.0149,5.45,1.24,17.68875167,7.6,5.405405405,2,875,183.52,0.117,526.5,96.045,0.035,0.041,R
23,0.144,0.0152,4.85,1.2,18.44324656,8.1,5.555555556,2,880,185.14,0.146,511.5,111.837,0.043,0.046,R
25,0.148,0.0147,4.575,1.215,17.32937435,7.6,5.405405405,2,853.5,189.63,0.073,501,66.36,0.029,0.047,R
26,0.065,0.0101,6.575,0.765,14.54895257,19.1,5.714285714,2,793,148.5,0.015,516,65.295,0.008,0.013,R
27,0.147,0.015,5.05,1.235,18.05986686,8.4,5.555555556,2,869,192.45,0.08,527.5,79.641,0.031,0.041,R
29,0.148,0.0149,4.55,1.24,18.83944762,8.2,5.555555556,2,834.5,179.25,0.095,525.5,80.065,0.036,0.026,R
31,0.141,0.0152,4.875,1.23,18.44324656,7.6,5.555555556,2,857.5,175.38,0.075,527,86.327,0.033,0.03,R
32,0.103,0.0133,9.55,1.15,15.69200317,14.9,6.060606061,2,751,203.8,0.062,528,104.986,0.054,0.044,R
33,0.14,0.0154,4.925,1.22,17.68875167,7.8,5.555555556,2,861,182.76,0.068,525,86.104,0.024,0.029,R
34,0.062,0.0119,5.125,0.685,19.24905923,10.7,5.263157895,1,811,136.14,0.016,0,800,0,0.012,R
35,0.145,0.0154,4.625,1.22,18.83944762,8,5.555555556,2,847,182.02,0.16,527.5,88.172,0.069,0.059,R
37,0.147,0.0158,4.65,1.235,18.44324656,7.6,5.555555556,2,853.5,173.57,0.118,526.5,94.764,0.056,0.05,R
38,0.125,0.0168,6.35,0.95,22.02603983,13.3,5.128205128,2,827.5,178.6,0.168,524,82.697,0.08,0.062,R
39,0.145,0.0158,4.55,1.215,18.05986686,8.4,5.405405405,2,862.5,184.65,0.173,524.5,89.946,0.063,0.049,R
41,0.146,0.0151,5,1.195,18.05986686,7.8,5.405405405,2,847,167.16,0.08,530,82.779,0.053,0.023,R
42,0.091,0.0196,5.075,1.09,11.42019956,16.1,6.451612903,2,810,158.91,0.074,524.5,87.632,0.049,0.042,R
43,0.148,0.016,5.075,1.235,17.68875167,8,5.405405405,2,867.5,182.37,0.134,525.5,91.92,0.057,0.043,R
45,0.147,0.0156,4.925,1.23,18.44324656,8.1,5.555555556,2,857.5,189.33,0.123,523.5,89.523,0.052,0.052,R
47,0.147,0.0155,5.125,1.205,17.68875167,8.5,5.405405405,2,864,186.05,0.135,529,84.001,0.056,0.037,R
48,0.084,0.0138,3.35,1,14.82226686,16.3,5.405405405,2,803.5,171.69,0.055,522,86.844,0.06,0.041,R
